,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,403768.6895028912,0.0,0.0,12618240.787794648,0.0,0.0,0.0,0.0,7.888114033254868e-14,1.0000000000000002,7.888114033254868e-14,2.382441466344955e-16,403768.6895028912
1,556380469.0515475,0.0,0.0,17387536256.865414,0.0,0.0,0.0,0.0,1.745690895857033e-10,1.000000000000001,1.745690895857033e-10,2.7780021610056115e-12,556380469.0515475
2,124385.0256872593,0.0,0.0,3887176.6071069306,0.0,0.0,0.0,0.0,2.4709003285266536e-14,1.0,2.4709003285266536e-14,2.751656156722128e-16,124385.0256872593
3,409867648.5579879,0.0,0.0,12808840346.187498,0.0,0.0,0.0,0.0,1.0979895559478341e-10,1.0000000000000007,1.0979895559478341e-10,5.395464110374828e-13,409867648.5579879
4,152720.21303950046,0.0,0.0,4772684.141675909,0.0,0.0,0.0,0.0,2.0433423389578242e-14,1.0000000000000007,2.0433423389578242e-14,1.051361123934274e-16,152720.21303950046
5,201909.25972797218,0.0,0.0,6309899.015868784,0.0,0.0,0.0,0.0,2.6661302428197088e-14,1.0000000000000016,2.6661302428197088e-14,7.541463509599577e-17,201909.25972797218
6,76291220.8484835,0.0,0.0,2384189313.5552077,0.0,0.0,0.0,0.0,2.361241078752172e-11,1.0000000000000007,2.361241078752172e-11,4.781818642958292e-13,76291220.8484835
7,2895.43126807787,0.0,0.0,90485.5920603882,0.0,0.0,0.0,0.0,4.454982234341963e-16,1.0000000000000009,4.454982234341963e-16,3.683179138226584e-18,2895.43126807787
8,30288.046380022788,0.0,0.0,946536.648707336,0.0,0.0,0.0,0.0,1.782146680712925e-15,1.0000000000000004,1.782146680712925e-15,7.495001358614436e-18,30288.046380022788
9,2513300.695896078,0.0,0.0,78543567.58567204,0.0,0.0,0.0,0.0,5.154176293198217e-13,1.0000000000000004,5.154176293198217e-13,1.3920524653135175e-15,2513300.695896078
10,1129898.8285660173,0.0,0.0,35310651.507540986,0.0,0.0,0.0,0.0,2.156725038276944e-13,1.0000000000000007,2.156725038276944e-13,3.8637475682207324e-16,1129898.8285660173
11,211759751.51600543,0.0,0.0,6617738332.019392,0.0,0.0,0.0,0.0,5.406381729414173e-11,1.0000000000000013,5.406381729414173e-11,1.1725764246231617e-13,211759751.51600543
