,mass_in_atmosphere,mass_in_solid,mass_in_melt,moles_in_atmosphere,moles_in_melt,moles_in_solid,ppmw_in_solid,ppmw_in_melt,fugacity,fugacity_coefficient,pressure,volume_mixing_ratio,mass_in_total
0,1.299670847166268e+21,0.0,1.9131262178814538e+19,4.640000425439668e+22,6.830118936840397e+20,0.0,0.0,5.888354010099889,290.06303719946783,1.0000000000000002,290.06303719946783,0.8760753264526785,1.3188021093450826e+21
1,3.4551766749325623e+19,0.0,1.534818664187048e+18,1.2335447299300173e+21,5.479509885389911e+19,0.0,0.0,0.4723972496728372,12.384663202763978,1.000000000000001,12.384663202763965,0.1970831217729087,3.608658541351267e+19
2,2.899146352623576e+20,0.0,5.838352344962495e+18,1.035034396510113e+22,2.0843706253439585e+20,0.0,0.0,1.7969690196868255,65.79240124303601,1.0,65.79240124303601,0.732680569328678,2.957529876073201e+20
3,1.8635039850304494e+20,0.0,5.207537471828087e+18,6.652960864823975e+21,1.8591611974261778e+20,0.0,0.0,1.6028123951456101,57.02999919021293,1.0000000000000007,57.029999190212905,0.280242477880289,1.9155793597487304e+20
4,6.386076397034664e+20,0.0,8.004744340708617e+18,2.2799155081255965e+22,2.8578018217001796e+20,0.0,0.0,2.463756337552668,97.61064735710146,1.0000000000000007,97.6106473571014,0.5022361547387896,6.46612384044175e+20
5,1.1238309149116984e+21,0.0,1.2449312465640038e+19,4.012228122745164e+22,4.4445726595274814e+20,0.0,0.0,3.831736677636208,169.52922245253723,1.0000000000000016,169.52922245253689,0.4795333792787452,1.1362802273773385e+21
6,4.6761775555524444e+19,0.0,1.9339707197537754e+18,1.6694585320970115e+21,6.904536623261948e+19,0.0,0.0,0.5952510679451448,16.533897047724892,1.0000000000000007,16.53389704772488,0.33483280404957744,4.869574627527822e+19
7,3.795555761841067e+20,0.0,5.903790827380395e+18,1.3550646602654384e+22,2.1077330472157125e+20,0.0,0.0,1.817110134620005,66.71547204817244,1.0000000000000009,66.71547204817237,0.5515735460190064,3.854593670114871e+20
8,2.3430654120018906e+20,0.0,1.8602433721023455e+18,8.365059916690508e+21,6.6413200363737694e+19,0.0,0.0,0.5725587479539384,15.749800902959159,1.0000000000000004,15.74980090295915,0.06623740932388539,2.361667845722914e+20
9,1.2971790802726945e+21,0.0,1.9858035870319972e+19,4.631104481153862e+22,7.089586958696562e+20,0.0,0.0,6.112045512563859,303.9017663929179,1.0000000000000004,303.9017663929179,0.8207852798490313,1.3170371161430145e+21
10,2.1138195693623252e+21,0.0,2.771168902058116e+19,7.546621302254327e+22,9.893447185147082e+20,0.0,0.0,8.52929794416164,460.93703803483106,1.0000000000000007,460.9370380348306,0.8257632884128707,2.1415312583829063e+21
11,5.947430273131074e+20,0.0,1.2679981083020886e+19,2.123312918633971e+22,4.526924470766176e+20,0.0,0.0,3.902733482000889,173.46470339556114,1.0000000000000013,173.46470339556097,0.37622319674405286,6.074230083961283e+20
12,4.056191887244707e+19,0.0,1.6622051408860265e+18,1.4481152765345223e+21,5.9342968088384635e+19,0.0,0.0,0.5116051526272781,13.682600201239973,1.000000000000001,13.682600201239959,0.09714887913533796,4.2224124013333094e+19
13,4.058670189218725e+19,0.0,1.6680420504104445e+18,1.4490000638049982e+21,5.955135364027729e+19,0.0,0.0,0.5134016775655416,13.742685387588143,1.0000000000000013,13.742685387588123,0.027747186986606363,4.22547439425977e+19
14,1.3750338394795852e+21,0.0,1.8950867707315884e+19,4.909056484640066e+22,6.765715674558587e+20,0.0,0.0,5.832830934846379,286.6482110253631,1.0000000000000009,286.6482110253628,0.7875120059392123,1.393984707186901e+21
15,7.379147102851456e+20,0.0,1.162537141848148e+19,2.634455160032715e+22,4.15041457960374e+20,0.0,0.0,3.5781383251712775,155.6221486008028,1.0000000000000013,155.62214860080266,0.7841035594116995,7.495400817036271e+20
16,7.489576565707957e+20,0.0,1.0316018265088244e+19,2.6738799694567652e+22,3.682957822991721e+20,0.0,0.0,3.175136431236764,134.03029974004352,1.0000000000000013,134.0302997400434,0.6364864464858287,7.592736748358839e+20
17,1.9103587408851436e+21,0.0,2.205539273524141e+19,6.820238670257307e+22,7.874073031482489e+20,0.0,0.0,6.7883634149711956,346.50248635625053,0.9999999999999998,346.50248635625053,0.6630173283247496,1.932414133620385e+21
