H2O,H2,O2,CO,CO2,CH4,N2,S2,H2S,SO2,Cl2,fo2_shift,number_ocean_moles,ch_ratio
1.7843701858457581,11.995803433512561,7.888114033254868e-14,290.06303719946783,16.713542181024316,1.1902107472715213,0.1149013335131658,2.017948876541238e-06,0.06276704527348187,6.807677868425347e-08,9.16908392068759,-1.5010994776885918,4.029676153783498,0.9713226414818845
0.43006231849396165,0.06145803791241264,1.745690895857033e-10,12.384663202763965,33.570467990990906,2.8354193270371566e-08,1.6405905381698245,0.004467511715557041,0.01513069251222214,0.0070887707939394935,14.725867088302435,1.8438946890068433,1.546277520642751,0.2885236101179604
0.9287991831123122,11.1564284319872,2.4709003285266536e-14,65.79240124303601,2.1217434607528,0.41721304350355337,0.02421845252765661,6.322757689541022e-07,0.03267576150434879,1.1936561324036375e-08,9.323361673667852,-2.005217430843036,3.1439605985546875,0.2718763030467769
8.131552180176662,1.4652283777306683,1.0979895559478341e-10,57.029999190212905,122.60042946914625,9.35781143250634e-05,1.4098169670383534,0.0028052150565404154,0.28584833467444254,0.003533068249856863,12.573030672670146,1.6425255511586725,6.792395712062622,0.2873071046352367
4.680957889234827,61.8294153395521,2.0433423389578242e-14,97.6106473571014,2.862577685381906,20.90625734126155,0.018132332204606905,5.219338679674121e-07,0.1645319116898112,8.968495829624986e-09,6.2795716237856,-2.0877315241061982,7.524717323214421,0.2964719213607044
8.004944818030479,92.56538982372388,2.6661302428197088e-14,169.52922245253689,5.679037968810193,71.24600951769769,0.026381221310414434,6.799845983729417e-07,0.28115475767248943,1.3356775810167892e-08,6.197414306745555,-1.9721912967101263,9.995393450812365,0.4585592008675927
0.19207160371013532,0.07463180925871807,2.361241078752172e-11,16.53389704772488,16.482949028760345,1.517792457999632e-07,1.562125257172115,0.0006043547745465537,0.0067579848429607835,0.00035266068443634254,14.526171624986281,0.9750676721047089,1.060176946093379,0.28922769607506515
0.3063300931919738,27.402970765770707,4.454982234341963e-16,66.71547204817237,0.2888943664490908,19.00895558698523,6.135428017660754e-05,1.1401608995592828e-08,0.01077774697414486,2.89001292710082e-11,7.221345467553433,-3.749226681486596,2.9269558891050944,0.46972556850882197
3.335460675294149,149.18153596485067,1.782146680712925e-15,15.74980090295915,0.13640689167401152,66.49559553899257,0.0004895078931524829,4.54634021347855e-08,0.11716376114660257,2.308581171181494e-10,2.7615797554256454,-3.1471292119208876,9.755428870523978,0.3495276054231873
3.050602161873176,8.023002208861753,5.154176293198217e-13,303.9017663929179,44.7612679671534,0.21821610496522045,0.5701826167985058,1.3181017804404774e-05,0.10728985284567961,1.1368534383128323e-06,9.624988587136523,-0.6859133889191016,4.763858793117127,0.9006834134068058
7.275647745590155,29.580482029316798,2.156725038276944e-13,460.9370380348306,43.91658063506418,6.95527164337362,0.31577481589132594,5.50793573193398e-06,0.25570954730754925,3.075105000915931e-07,8.958609936159409,-1.064277877718152,7.774871133817712,0.8598278049387407
9.762550290585612,2.506922471810728,5.406381729414173e-11,173.46470339556097,261.6700351665335,0.0011874052296660807,1.3349592167318471,0.0013806585977202833,0.34310837480256623,0.001220451694851491,11.98253465560615,1.334834048782069,7.5202314451606975,0.6401646296101295
5.784167463830344,0.2912477807453155,1.4061071351106863e-09,13.682600201239959,105.26096927584408,2.478814723524684e-07,1.5630398754280086,0.035898671520633765,0.203258669272408,0.16185582652134928,13.858527252120032,2.7499457540416037,5.590781441739542,0.2235686577126808
14.625946381626372,0.17730808182945695,2.4257879598644452e-08,13.742685387588123,439.1243741940671,2.2215783550892483e-08,1.5715266749817633,0.5646284739118544,0.4907464694214169,11.074011270399696,13.91088555318915,3.9867801781734675,8.784020997216896,0.5422745188644246
6.243852796026588,34.08410774063161,1.1963641694178468e-13,286.6482110253628,20.34091364332627,7.71046876141264,0.18063526578670677,3.056028726880614e-06,0.2194713879423986,1.2706117027376183e-07,8.564515189929578,-1.320209260350821,7.46182946024831,0.5740106192323629
2.625339959350409,21.538224021987848,5.29679619991608e-14,155.62214860080266,7.347973143298216,2.512140593404295,0.0689853573082388,1.3546272214687555e-06,0.09233514884807886,3.745362861853331e-08,8.664273998581168,-1.6740593946784186,5.053490767433548,0.439816741862571
1.1799036797500289,38.62429381408255,3.326855608587576e-15,134.0302997400434,1.5860230197221201,27.763007037146934,0.0012485978573024338,8.511615804286353e-08,0.04150628107904091,5.896722569994464e-10,7.352121228382093,-2.8760387058457395,4.502710246676603,0.5694628253701758
3.6652530952268534,61.88260332726605,1.2506412018368228e-14,346.50248635625053,7.949910564382678,95.02470427045968,0.008940044259937394,3.196774893784211e-07,0.1288759465603232,4.295952762917806e-09,7.451751444223758,-2.3009399257502556,7.291878531326944,0.9539260297224249
0.23913273300889942,21.886884181849496,4.255710926197202e-16,109.40700018486426,0.4630423270831994,20.346340860694685,5.728533837449217e-05,1.089198711049383e-08,0.008413656235500744,2.6983384192872587e-11,7.944532155487089,-3.769100537612771,2.5917337291980083,0.7302613171694269
0.563546239206013,0.9009330396995754,1.3948773716693236e-12,39.82504210281572,9.6496992866052,0.0002191960094021783,0.9619252423654178,3.569856125814705e-05,0.0198273711004234,5.063282078675483e-06,12.04299314442041,-0.2535366289669092,1.95183528324269,0.25765737994133286
14.60253592883073,0.18576276757731072,2.2029323807433137e-08,9.916759368331643,301.96727509499965,1.8464855933396685e-08,1.5737570310341282,0.5193598126411619,0.49310579683631667,9.645085338892073,13.93224149905319,3.944928508661869,8.779680271120863,0.37523569633932663
