X_O,X_H2O
0.15327198883446344, 0.5295124333563958
0.15609144724177024, 0.5377131577876358
0.16530181172595237, 0.5656729477839729
0.19287074073281854, 0.644780432216841
0.19714939252636307, 0.6553477676936226
0.2034781341575581, 0.6729945871148915
0.2071799266325854, 0.6803670994261528
0.211158451156125, 0.6956941109437955
0.21451666809266112, 0.7062960400472101
0.22783857564544074, 0.7357982988075373
0.23410582126585527, 0.7545439746042082
0.23655897734807813, 0.7659558015546782
0.24090647793630082, 0.7726751047983396
0.24516106607345298, 0.7831793577794961
0.2474103495112404, 0.7903585527654552
0.280877548073838, 0.8681921777705425
0.294087826998353, 0.9012229864474379
0.3040568650937948, 0.8739306499531968
0.3125352933627088, 0.9164014488624801
0.31368232765074544, 0.8969516910178665
0.31359342580907357, 0.8977575190264946
0.3258705696134842, 0.9407940254771885
0.329236139333918, 0.9313133368605266
0.3323797886676221, 0.9517744495543526
0.3333069078736284, 0.9614077571120426
0.3497724647601121, 0.9439990232387774
0.3598451102650211, 0.9371026820235236
