X_O,X_CH4
0.0008654038417958596, 0.9195422828218045
0.000922990788754549, 0.9155074222761648
0.003669568231200928, 0.9094957236161119
0.02680712371862378, 0.8249848794209935
0.030741032032739247, 0.8113093812537294
0.03107135715904395, 0.8161784106546297
0.03144407267685991, 0.8121658757961137
0.033525600863804204, 0.8052936233778358
0.045780423104096406, 0.7693533263244207
0.05824399802711386, 0.7224084951269114
0.06380593732087393, 0.7322926856989767
0.06582108055507419, 0.7188120298920655
0.0668336510390978, 0.6981810653817896
0.07757401655624725, 0.67592641453524
0.07830785022061666, 0.6537143854550178
0.08000146633429756, 0.6523403408929463
0.08329711931962089, 0.6689445632892638
0.08538504605622725, 0.6308366449769234
0.08857792233760348, 0.6277496113300832
0.09020795286401749, 0.6196738014150427
0.09131250249943346, 0.6173174266195256
0.09511764000159964, 0.6051154238024299
0.10800791820520682, 0.5657207340685926
