H2,H2O,O2,H2_melt,H2O_melt,O2_melt,H2_mass_atm,H2O_mass_atm,O2_mass_atm,H2_mass_melt,H2O_mass_melt,O2_mass_melt,H2_mass_tot,H2O_mass_tot,O2_mass_tot,H2_fugacity,H2O_fugacity,O2_fugacity,H2_fugacity_input,Total_Pressure
851.4110354446901,973.0797657401926,2.7188389308124406e-12,471.25270886869527,30515.979408907137,0.0,4.5649464764642734e+21,4.662522440249451e+22,231392146.8716381,1.7113542122566668e+22,1.1081877922344627e+24,0.0,2.167848859903094e+22,1.1548130166369572e+24,231392146.8716381,999.9999984419992,999.999999232027,3.624725319917558e-12,1000,1824.4908011848854
929.4338044134271,970.2535335898502,2.217025775493983e-12,495.3924597455666,30515.97941830254,0.0,5.160143134504944e+21,4.813983480225853e+22,195381188.60625738,1.7990177175660252e+22,1.1081877925756567e+24,0.0,2.3150320310165197e+22,1.1563276273779153e+24,195381188.60625738,1099.9999990713552,999.9999998477964,2.9956407667041143e-12,1100,1899.6873380032796
1006.3363391751412,967.3670741644466,1.8384767098832184e-12,518.5084772644818,30515.97942390612,0.0,5.774047664899801e+21,4.960261684205356e+22,167441868.76167956,1.8829635351859656e+22,1.1081877927791507e+24,0.0,2.4603683016759455e+22,1.1577904096212042e+24,167441868.76167956,1199.9999995390408,1000.0000002150518,2.5171703698576545e-12,1200,1973.7034133395896
1082.1607489353041,964.3677657603077,1.5462916394156225e-12,540.7244988287151,30515.979431470907,0.0,6.405671201382086e+21,5.10142644364925e+22,145289086.67490712,1.9636410174964788e+22,1.1081877930538659e+24,0.0,2.6042081376346875e+22,1.1592020574903584e+24,145289086.67490712,1300.0000008131142,1000.0000007108436,2.144807899996801e-12,1300,2046.5285146956135
1156.939867443962,961.2869140705363,1.3163390104108106e-12,562.1410536691528,30515.979422334753,0.0,7.053881794593094e+21,5.237770911049382e+22,127395434.26483554,2.0414152363995285e+22,1.1081877927220867e+24,0.0,2.746803415858838e+22,1.1605655018325805e+24,127395434.26483554,1399.9999997627729,1000.0000001120652,1.8493496627513343e-12,1400,2118.2267815144996
1230.701818813714,958.1762302825852,1.1323201553881358e-12,582.8411490771422,30515.979424626505,0.0,7.717494757602364e+21,5.369637550892538e+22,112709742.93380666,2.116587632873642e+22,1.1081877928053116e+24,0.0,2.888337108633878e+22,1.161884168314237e+24,112709742.93380666,1500.0000000110174,1000.0000002622653,1.6109890402645402e-12,1500,2188.8780490963
1303.4773241082355,955.0415384601436,9.829224487536743e-13,602.8942762527513,30515.979427139697,0.0,8.395541517720122e+21,5.497225755977796e+22,100492397.57837623,2.189410564211866e+22,1.1081877928965782e+24,0.0,3.0289647159838784e+22,1.1631600504563561e+24,100492397.57837623,1600.0000003134708,1000.0000004269787,1.4159083367999358e-12,1600,2258.51886256838
1375.295750225934,951.8869165318661,8.600939368705137e-13,622.3593087244818,30515.97932660092,0.0,9.08712576414188e+21,5.620718994329654e+22,90207997.98900755,2.260097829632956e+22,1.1081877892455124e+24,0.0,3.168810406047144e+22,1.1643949791888089e+24,90207997.98900755,1699.9999851756736,999.9999938377242,1.254230206941812e-12,1700,2327.1826667578007
1446.1851428901941,948.7158791939817,7.579803210399372e-13,641.2866598170997,30515.979358475426,0.0,9.791414083578917e+21,5.740289157094393e+22,81460706.62912963,2.3288325051257975e+22,1.108187790403035e+24,0.0,3.307973913483689e+22,1.165590681973979e+24,81460706.62912963,1799.9999896840213,999.9999959267614,1.1187423816929648e-12,1800,2394.9010220841765
1516.1722223887766,945.5315735210676,6.722447175924777e-13,659.7198794456451,30515.97938423425,0.0,1.0507629245145029e+22,5.856097766927101e+22,73952408.67987572,2.39577274220686e+22,1.1081877913384668e+24,0.0,3.4465356667213633e+22,1.1667487690077378e+24,73952408.67987572,1899.9999936776705,999.9999976149802,1.0040790392415255e-12,1900,2461.7037959098448
1585.2825067497595,942.3368839134374,5.996206288598397e-13,677.6969085442663,30515.979388320462,0.0,1.1235045425428277e+22,5.968297095535561e+22,67454892.05072607,2.4610563233785034e+22,1.1081877914868576e+24,0.0,3.584560865921331e+22,1.1678707624422132e+24,67454892.05072607,1999.9999941484307,999.9999978827881,9.061813335431883e-13,2000,2527.6193906631975
1653.540376751129,939.134462971005,5.37611023779918e-13,695.2510421826394,30515.979391238958,0.0,1.1972983704202726e+22,6.077030883131521e+22,61790893.2384438,2.524804159686255e+22,1.1081877915928427e+24,0.0,3.7221025301065273e+22,1.168958100424158e+24,61790893.2384438,2099.9999944739297,999.9999980740645,8.219331827700652e-13,2100,2592.6748397221345
1720.9691381234722,935.9267506672702,4.842814829714132e-13,712.411689424235,30515.97939464696,0.0,1.2720808074012619e+22,6.1824349657927835e+22,56820912.29141339,2.5871230501441094e+22,1.1081877917166044e+24,0.0,3.859203857545371e+22,1.1700121413745321e+24,56820912.29141339,2199.999994948351,999.9999982974233,7.489101938250862e-13,2200,2656.895888790743
1787.5910872277539,932.7159921208482,4.3811529078860244e-13,729.2049819170413,30515.979398436182,0.0,1.3477921937457351e+22,6.284637859870388e+22,52433866.93325742,2.6481078918317353e+22,1.10818779185421e+24,0.0,3.99590008557747e+22,1.1710341704529139e+24,52433866.93325742,2299.999995553888,999.9999985457667,6.852032779550103e-13,2300,2720.3070793486027
1853.427570629875,929.5042520753982,3.9791016956495553e-13,745.65426472381,30515.97940237754,0.0,1.424376495865428e+22,6.383761284618761e+22,48540353.96538048,2.707843462344516e+22,1.1081877919973403e+24,0.0,4.132219958209944e+22,1.172025404843528e+24,48540353.96538048,2399.999996244397,999.999998804081,6.292925942151217e-13,2400,2782.9318227052736
1918.499040297409,926.2934279081885,3.627035412324676e-13,761.7804963560587,30515.979406229937,0.0,1.501781023217436e+22,6.479920636667395e+22,45067715.326605745,2.7664058725170273e+22,1.1081877921372402e+24,0.0,4.268186895734463e+22,1.1729869985039141e+24,45067715.326605745,2499.999996965626,999.9999990565649,5.799560551784489e-13,2500,2844.7924682055977
1982.8251048727234,923.0852616596368,3.3171766674009166e-13,777.6025777765038,30515.979409781266,0.0,1.5799561731297526e+22,6.573225422805069e+22,41956374.552383035,2.8238637611953737e+22,1.1081877922662066e+24,0.0,4.403819934325126e+22,1.1739200464942574e+24,41956374.552383035,2599.9999976651015,999.999999289317,5.362019743827746e-13,2600,2905.9103665323605
2046.424577320129,919.8813512562683,3.043188529969632e-13,793.137625215093,30515.979412870456,0.0,1.658855200224172e+22,6.663779655730226e+22,39157081.464246355,2.8802792859686104e+22,1.1081877923783906e+24,0.0,4.539134486192783e+22,1.174825588935693e+24,39157081.464246355,2699.9999982987,999.9999994917807,4.972188406706983e-13,2700,2966.305928576398
2109.3155192281374,916.6831610043137,2.7998675809419614e-13,808.4011981081164,30515.9794153925,0.0,1.7384340075747956e+22,6.751682216634467e+22,36628815.42549599,2.9357089509296247e+22,1.1081877924699787e+24,0.0,4.674142958504421e+22,1.1757046146363233e+24,36628815.42549599,2799.9999988332797,999.9999996570741,4.623374170676466e-13,2800,3025.9986802324515
