H2O,H2,O2,CO,CO2,CH4,N2,fo2_shift,number_ocean_moles,ch_ratio,Tsurf,mantle_meltfrac
615.5437878820254,270.95555689341234,1.994618772307886e-11,71.26894313242377,62.41631469021653,9.417442205330099,0.6130809019987796,0.8649873113211113,3.397049509709018,0.941767167554285,1503.0227403142374,0.18659320521014933
875.291060283508,349.2489571802256,1.1626188276406777e-17,1.8266787754425475,4.503925823497399,276.44646885880843,0.5359604165119174,1.3369129099106853,7.6290635652963985,0.9478849466797336,1101.3973141726503,0.6146108912568933
121.64203014132491,259.0966648670082,6.898270554641311e-15,11.402243886408602,2.780607593465739,59.758112025941266,0.34593655066658724,-0.39141646329272195,3.326638721003537,0.8806399767503618,1341.4931267268735,0.5164118694647588
820.782013506817,17.831535859212774,1.715873288089817e-06,4.84794629378918,62.99542402888845,1.213451417235561e-05,0.74690526430588,3.3749789050492858,2.58289700310637,0.48200357963361096,1734.094438920672,0.7498500511060334
994.9646907489675,31.551189133211057,7.751680485892785e-10,5.337540143958827,71.56133813855648,0.001427621593714163,0.7366118164083082,3.1856715136645164,3.2058184205950564,0.44634003794400634,1445.2117205901645,0.5513788737801197
177.43392136929234,538.5694091373796,1.6120880321829922e-11,18.36512261225752,1.8817441153834344,12.62262164240564,0.2593117025530798,-0.8853604552253227,6.575858741231188,0.26420055897015454,1653.4965393900982,0.855622117819236
20.60803876302161,461.56017917392364,1.3556824968723116e-18,0.06699079647302686,0.0019869351440589054,67.16799463948713,0.16571122493088644,-2.334007559219092,8.558444491760167,0.6497955956512919,1235.6899122141672,0.5052364608938364
753.2103697105084,831.7468510181033,1.4972595912643293e-08,53.285872922161204,11.47113655085484,3.6203345562376668,0.3996032139360915,-0.08523326831618316,9.165977623869756,0.2558702787790984,1904.3917260684984,0.4428142389060844
11.129347073511596,110.199203478139,4.3233206904995133e-17,0.8735817936161193,0.052040646130826526,9.579398037825701,0.17580691549969232,-1.674626483555012,1.8382813321009077,0.4455170733710456,1284.1208072555212,0.38631218224556285
862.8742710079995,45.44961417247167,1.5818664264445942e-07,22.62403042472654,125.4984174798508,0.00117637927752467,0.787632546979414,2.616216591165224,2.652949155219061,0.9715991566263524,1704.1094930302336,0.8508032849439872
