H2O,H2,O2,CO,CO2,CH4,N2,fo2_shift,number_ocean_moles,ch_ratio
3.8639578310966405,356.77861626853223,4.181470795452621e-16,0.9535208525572372,0.004000223442008226,47.536005085996905,0.14758292544582413,-3.7767435900768778,7.10342065797147,0.6340091063517275
3.9580154155679828,392.1264151721321,3.6321578124583933e-16,0.24079361540876376,0.0009414924548907087,15.558731886850495,0.1038682671265187,-3.8379079481951566,9.461522029269718,0.22036438815252707
1836.9711676704337,38.07735546051572,8.297228843926806e-09,7.830105533783399,146.32673128952334,0.0009981458926061305,0.7493370635517219,3.520860410455361,5.756340566639572,0.4898434302635214
3.837020335724277,187.1523119009443,1.4985103756621743e-15,1.9881996882631037,0.015789900745692045,14.407210550090515,0.13568309225677228,-3.222412903635414,3.7266627517645983,0.44484621168918415
2750.1581525502565,262.6580941258604,3.9083703207075404e-10,52.138753856170034,211.46963805625742,1.4571483110641708,0.7088459081782664,2.193923048713974,9.78704125603117,0.5236792853174252
1561.5666576321985,653.677987383098,2.0344886875611427e-11,23.92481085036204,22.13939119422951,18.15131025557674,0.525691810047539,0.9103826213975443,9.852820673985459,0.1699274507067673
257.82749418540755,345.86681456314875,1.9810827323216137e-12,17.942047983975293,5.180991044843551,12.212311740016391,0.374842828397242,-0.10117004541511765,3.854813743791811,0.3351754351734619
436.94745520291553,53.642972312219094,2.3653461558379196e-10,18.569697317369688,58.59245560261082,0.02782547106511631,0.7452504657662417,1.9758220484383733,1.5145262226308591,0.9373402062514246
8.846234022983358,476.19754571535947,1.2302814849901034e-15,1.650070180437179,0.011873921722207631,85.4346143856884,0.1695011540007187,-3.3080681697948062,8.901932689824127,0.7911510505862079
30.73051263502911,404.26803008874265,2.0599788374337142e-14,6.788596548041027,0.19989452531932075,61.90800404336577,0.1943126775000293,-2.084209899175872,6.615722666932145,0.7345715124204112
2655.304442368287,144.5608302518345,1.2027886510409364e-09,46.64428380740664,331.8811692692225,0.2250942609097465,0.7691467399107051,2.682116663669728,8.375456272311101,0.805843978089041
14.981551040363538,255.7250583255773,1.2235703063242792e-14,5.12363900161456,0.11627397209935884,24.258839284065875,0.16875107327055022,-2.3104437290189717,4.351711587099128,0.5505697907519808
81.02288477137007,259.4529106405715,3.4766442603232573e-13,19.440986674369725,2.351732665246973,17.775206537767108,0.29346362665267106,-0.8569124032091144,2.9476407826549615,0.6269455564776153
795.67735440923,406.6172177027145,1.3650998290178833e-11,76.99825233056211,58.36501420232618,27.59494778691832,0.568388768196328,0.7370917542848829,5.089414974397764,0.7721084161923797
130.5620476446838,414.268222975655,3.541054472846458e-13,8.112535599635507,0.9904041260389946,18.7375558697107,0.2508871213128716,-0.8489400503153179,5.339285663517023,0.28485957129300576
