H2_g,H2O_g,O2_g,H4Si_g,OSi_g,O2Si_g,O2Si_l,mass_O2Si_l,total_pressure,log_fO2_dIW,melt_fraction_H,fugacity_coefficient_H2,fugacity_coefficient_H2O
58531.26629966567,341.88001600296235,7.01406368752531e-08,14315.914286101694,312.45449167527323,0.020390320977750287,1.0,7.956711655390895e+24,73501.53548383672,-6.0,0.0,1.0000000000000009,1.0000000000000009
57891.30061528859,343.6716521964783,7.245342526581702e-08,13557.53225002991,307.4271109682005,0.020390320977750297,1.0,7.974169717967559e+24,72099.9520188766,-5.959798994974874,0.0,1.000000000000004,1.000000000000004
57229.42877902056,345.31697811134256,7.485057740565048e-08,12824.97779324317,302.46424792063,0.020390320977750287,1.0,7.991589381621199e+24,70702.20818869153,-5.919597989949748,0.0,1.0000000000000018,1.0000000000000018
56546.60612444727,346.81981588613615,7.733798137803314e-08,12118.063121680992,297.56045120983333,0.02039032097775036,1.0,8.008961432610173e+24,69309.06990362256,-5.8793969849246235,0.0,0.9999999999999993,0.9999999999999993
55843.843256382126,348.1848249027742,7.992215638732126e-08,11436.584948643569,292.7103157198834,0.020390320977750277,1.0,8.026276164693962e+24,67921.34373604925,-5.839195979899498,0.0,1.0000000000000024,1.0000000000000024
55122.20868363605,349.4175590475603,8.261032730612297e-08,10780.32449042127,287.9084777328783,0.020390320977750277,1.0,8.043523345958229e+24,66539.87960124135,-5.798994974874372,0.0,1.0000000000000018,1.0000000000000018
54382.83154806657,350.5245279345712,8.541050849185533e-08,10149.04736710471,283.149612083926,0.020390320977750297,1.0,8.060692185228452e+24,65165.573445596165,-5.758793969849246,0.0,1.0000000000000027,1.0000000000000027
53626.90446613207,351.5132626450304,8.833159807512508e-08,9542.503416550404,278.4284315178261,0.020390320977750214,1.0,8.07777129852512e+24,63799.369967254635,-5.71859296482412,0.0,1.0000000000000022,1.0000000000000022
52855.68632020519,352.39238505983104,9.138348388225695e-08,8960.426386767684,273.73968881298987,0.020390320977750277,1.0,8.094748677249436e+24,62442.265171258055,-5.678391959798995,0.0,1.0000000000000013,1.0000000000000013
52070.50495632616,353.17168080759694,9.4577162378076e-08,8402.533514255434,269.0781820828283,0.020390320977750204,1.0,8.111611658874414e+24,61095.30872388757,-5.63819095477387,0.0,1.000000000000001,1.000000000000001
51272.759649565975,353.8621750333519,9.792487205134252e-08,7868.524977836945,264.43876383986645,0.020390320977750235,1.0,8.128346901691318e+24,59759.60595669505,-5.597989949748744,0.0,1.0000000000000024,1.0000000000000024
50463.92335685096,354.4762116455659,1.0144024300667856e-07,7358.083257507219,259.8163541277083,0.020390320977750287,1.0,8.144940364502351e+24,58436.319570553875,-5.557788944723618,0.0,1.0000000000000018,1.0000000000000018
49645.54429979326,355.02753230008904,1.0513846405521065e-07,6870.872336996581,255.20595885376503,0.020390320977750235,1.0,8.161377294527382e+24,57126.670518369814,-5.517587939698492,0.0,1.0000000000000029,1.0000000000000029
48819.247049857666,355.5313570803293,1.0903646950537173e-07,6406.536830796703,250.60269331080565,0.020390320977750225,1.0,8.177642224294805e+24,55831.938321475514,-5.477386934673367,0.0,1.0000000000000033,1.0000000000000033
47986.73267846192,356.0044632045442,1.1315314720591401e-07,5964.700998320607,246.0018118678513,0.020390320977750256,1.0,8.193718980922135e+24,54553.46034228906,-5.437185929648241,0.0,1.000000000000001,1.000000000000001
47149.77782317725,356.46526059832996,1.1750956983093507e-07,5544.967681236326,241.3987441957872,0.02039032097775033,1.0,8.209590710267592e+24,53292.62989964618,-5.396984924623116,0.0,0.9999999999999994,0.9999999999999994
46310.232404927476,356.93386196257467,1.2212925131004972e-07,5146.917187535215,236.78913843211146,0.020390320977750235,1.0,8.225239918976304e+24,52050.89298330048,-5.35678391959799,0.0,1.0000000000000016,1.0000000000000016
45470.015729926556,357.432144760352,1.2703843033032623e-07,4770.1061576963975,232.1689114715106,0.020390320977750287,1.0,8.240648537494552e+24,50829.74333430283,-5.316582914572864,0.0,1.0000000000000022,1.0000000000000022
44631.11070821047,357.9838022905154,1.3226638282917658e-07,4414.066458521312,227.5343062899649,0.020390320977750287,1.0,8.255798007057928e+24,49630.71566576551,-5.276381909547739,0.0,1.000000000000002,1.000000000000002
43795.55593507275,358.6143808696923,1.3784576538545192e-07,4078.3041611137255,222.88195584031394,0.020390320977750287,1.0,8.270669393373029e+24,48455.3768233553,-5.236180904522613,0.0,1.0000000000000016,1.0000000000000016
42965.43541745409,359.3513001637566,1.4381299141935303e-07,3762.298670404814,218.2089525939162,0.020390320977750225,1.0,8.285243529158731e+24,47305.31473108137,-5.1959798994974875,0.0,1.0000000000000007,1.0000000000000007
42142.86578866768,360.2238539520012,1.5020864215925918e-07,3465.5020835968066,213.51292225477422,0.020390320977750204,1.0,8.299501186832314e+24,46182.12503894246,-5.155778894472362,0.0,1.0000000000000016,1.0000000000000016
41329.980944922274,361.2631891264791,1.570779144631994e-07,3187.3388627044874,208.79209956087357,0.020390320977750287,1.0,8.313423281391249e+24,45087.39548679217,-5.115577889447236,0.0,0.9999999999999996,0.9999999999999996
40528.914157360676,362.50226156675,1.6447110783628135e-07,2927.205910712246,204.04540345460927,0.020390320977750287,1.0,8.326991102171962e+24,44022.688123579734,-5.075376884422111,0.0,1.0000000000000027,1.0000000000000027
39741.77785666156,363.9757687557154,1.7244415350115269e-07,2684.47313805522,199.2725082542492,0.02039032097775035,1.0,8.340186568347813e+24,42989.51966222016,-5.035175879396985,0.0,1.0000000000000004,1.0000000000000004
