,H2O,H2,O2,CO,CO2,CH4,N2,S2,H2S,SO2,SO,fO2_shift,C/H ratio,Number of ocean moles
2229,5.536342601,33.83990031,9.54223E-14,236.8018927,15.00719569,7.030364633,0.139249316,2.43777E-06,0.194613333,9.05142E-08,1.02645E-07,-1.429333099,0.525258616,7.12796554
2230,0.768342698,2.350108569,3.81062E-13,53.15597526,6.731930555,0.00380881,0.468506757,9.75136E-06,0.02703135,7.22935E-07,4.1025E-07,-0.819368504,0.325431115,2.404426469
2231,14.06814088,0.551174333,2.32251E-09,43.32401141,428.3481334,2.18719E-06,1.495945484,0.059096228,0.493532926,0.343010971,0.00249331,2.95000293,0.58618762,8.704900605
2232,13.64163193,25.41067559,1.02745E-12,506.203026,105.2677515,2.58247103,0.722083287,2.61918E-05,0.479011929,3.19459E-06,1.10403E-06,-0.41026506,0.795739883,9.892990885
2233,7.400510438,1.090117532,1.643E-10,57.06445751,150.0633157,4.23694E-05,1.377302739,0.004197961,0.260159574,0.006467383,0.000176749,1.809636209,0.360254461,6.447722927
2234,2.89936958,0.908621628,3.62997E-11,36.88697921,45.59467168,4.04806E-05,1.255187763,0.000928449,0.10197866,0.000671974,3.90704E-05,1.158653191,0.23272998,4.112115766
2235,1.722214137,77.27914621,1.77056E-15,56.49187028,0.487675886,64.21169922,0.000485295,4.52708E-08,0.060564583,2.28871E-10,1.90538E-09,-3.157267011,0.483612772,6.443407631
2236,6.781896489,17.92332093,5.1042E-13,45.7872759,6.71116592,0.164883617,0.464364319,1.30303E-05,0.23831053,1.11937E-06,5.48856E-07,-0.692971306,0.12126109,7.162149181
2237,0.312148521,0.378510494,2.42454E-12,58.36903226,18.64602853,4.30114E-05,0.928351702,6.20529E-05,0.010982625,1.16033E-05,2.61044E-06,-0.016290988,0.657825941,1.424819887
2238,0.808931197,1.323033986,1.33273E-12,17.84501549,4.226472113,0.000216694,0.767477076,3.41042E-05,0.028459175,4.72844E-06,1.43481E-06,-0.274209531,0.12350719,2.346415718
2239,9.280619736,4.837515878,1.31211E-11,326.9152332,242.946265,0.016914291,1.167015445,0.000335051,0.326155712,0.000145914,1.4111E-05,0.698467129,0.88174401,7.524896709
2240,1.094563874,4.46635224,2.14111E-13,31.7455406,3.013639923,0.010960464,0.30247074,5.47835E-06,0.038505709,3.04463E-07,2.30495E-07,-1.068889076,0.167449732,2.960356669
2241,0.437427306,0.083379989,9.81183E-11,37.15801747,75.51219355,2.08863E-07,1.367479923,0.002511049,0.015389931,0.00298709,0.000105638,1.589512821,0.799949176,1.569741019
2242,13.55009556,0.21886031,1.36651E-08,7.908080666,189.6561511,2.59512E-08,1.509774302,0.335228267,0.466750284,4.806773901,0.01440437,3.729566225,0.255691174,8.471429395
2243,12.72818593,2.697031813,7.94004E-11,227.2028673,415.3505058,0.001485368,1.340351574,0.002026263,0.44717883,0.002171408,8.53644E-05,1.477595201,0.837327148,8.545228494
2244,3.374198093,26.24440948,5.89291E-14,41.22312155,2.053029262,0.936718567,0.074363255,1.50596E-06,0.118628856,4.39346E-08,6.33999E-08,-1.630420736,0.151660229,5.725614215
2245,0.327277002,9.708974257,4.05085E-15,72.10068554,0.941460334,0.855209208,0.001676387,1.03673E-07,0.011514749,7.92412E-10,4.36139E-09,-2.793567818,0.492546697,2.19355347
2246,7.826200018,27.97721803,2.78968E-13,355.3904701,38.50992633,4.217905356,0.376501349,7.12267E-06,0.27502564,4.52321E-07,2.99997E-07,-0.968415567,0.675662529,7.945607171
2247,0.274849988,7.485022883,4.80692E-15,98.75353732,1.404674652,0.639094013,0.002165166,1.23026E-07,0.009670295,1.02432E-09,5.17548E-09,-2.720149729,0.712231934,1.966757399
2248,0.794434336,0.311299632,2.32178E-11,91.87561178,90.82389816,1.47981E-05,1.241376807,0.000594159,0.027949708,0.000343829,2.49965E-05,0.96099865,0.965554961,2.1627564
2249,7.215195926,0.129361846,1.10904E-08,11.30425722,244.23306,1.4386E-08,1.532711827,0.275471451,0.250087374,3.536346667,0.011763291,3.637065236,0.446211135,6.181058066
2250,10.71414027,0.416380234,2.36046E-09,59.87052698,596.7615021,1.71102E-06,1.507947318,0.060102439,0.375996167,0.351571108,0.002534906,2.950391508,0.923550537,7.592298932
2251,7.994171087,25.37163188,3.53926E-13,301.7653819,36.83112189,2.614987374,0.438655164,9.03607E-06,0.2809218,6.46357E-07,3.80595E-07,-0.862884858,0.580582661,7.924804802
2252,2.187637974,0.029657067,1.9398E-08,1.225405374,35.0144673,6.19751E-11,1.619044596,0.465574392,0.074536674,8.041215894,0.020225087,3.8879356,0.1115353,3.392646346
2253,0.149582935,8.018254281,1.2407E-15,117.2094526,0.847003797,1.713359415,0.000285025,3.17553E-08,0.005263021,1.34321E-10,1.33585E-09,-3.309060846,0.984094038,1.689352821
2254,1.782045516,0.035817258,8.825E-09,12.46527266,240.2418872,1.36329E-09,1.544934027,0.221305073,0.062063361,2.522210185,0.009405259,3.538186414,0.881675015,3.070337463
2255,6.661535198,0.280256126,2.01419E-09,43.04714117,396.3547084,6.03342E-07,1.504586259,0.051359346,0.233944112,0.277319781,0.002164599,2.889622569,0.789875277,5.987953694
2256,12.78867377,0.235900215,1.04775E-08,11.69320615,245.5564087,5.09122E-08,1.513841446,0.260481238,0.443469569,3.248742209,0.011118188,3.612109398,0.34042934,8.237573191
2257,13.03428424,1.890595427,1.69449E-10,55.46457267,148.1237676,0.00012197,1.356372726,0.004323752,0.457905906,0.006769245,0.000182166,1.82292403,0.270434289,8.565291792
2258,13.01205676,0.929453895,6.98712E-10,76.85310227,416.7734013,2.01153E-05,1.460944793,0.017823909,0.457063553,0.056672237,0.000751049,2.427578234,0.636355839,8.440444675
2259,16.35180297,1.246886629,6.13111E-10,80.04869207,406.6431044,4.0253E-05,1.449611144,0.015630039,0.574188192,0.046568266,0.000658821,2.370936146,0.561594263,9.476616156
2260,3.063425847,49.88255993,1.34456E-14,219.0417267,5.210818996,37.64385523,0.009933739,3.43745E-07,0.107724356,4.78925E-09,1.44686E-08,-2.281005302,0.663510623,6.358134338
2261,10.01559287,15.03728982,1.58153E-12,204.7081573,52.81566292,0.294778369,0.802931138,4.03595E-05,0.351876079,6.10407E-06,1.70031E-06,-0.209374161,0.402055168,8.311374749
2262,0.932212649,4.75064826,1.37273E-13,49.91730907,3.794318425,0.02435136,0.206874066,3.51257E-06,0.032795382,1.56304E-07,1.47783E-07,-1.262637295,0.265610734,2.796706423
2263,1.7992365,0.064059416,2.81237E-09,17.46492981,190.0170687,1.08232E-08,1.51754576,0.071682506,0.063173775,0.457456522,0.003021763,3.043283038,0.723167165,3.10144069
2264,2.615259619,0.199721296,6.11284E-10,36.02815087,182.7481126,4.6551E-07,1.466361785,0.015629989,0.091971013,0.04642938,0.000657837,2.38002237,0.632227128,3.778307733
2265,16.47729179,0.302324389,1.05898E-08,21.39790208,451.7564259,1.52207E-07,1.522975079,0.263006548,0.571088912,3.29944779,0.011231675,3.60867919,0.544132289,9.353638323
2266,0.19853887,0.274647219,1.86296E-12,17.86713867,5.003176708,7.90794E-06,0.869526763,4.76814E-05,0.006985492,7.81534E-06,2.00583E-06,-0.128721436,0.248454201,1.143777212
2267,4.273354991,79.28607126,1.03563E-14,168.2832713,3.51344786,83.2513114,0.006746912,2.6456E-07,0.150212461,3.23622E-09,1.11399E-08,-2.395251262,0.602130423,8.093547636
2268,9.218661702,24.79201331,4.92917E-13,44.28077557,6.378106908,0.310463925,0.429594845,1.25674E-05,0.323728573,1.06161E-06,5.29696E-07,-0.70840544,0.10925326,8.397203776
2269,0.361298281,0.749665468,8.28054E-13,84.50675061,15.77648634,0.000417981,0.690274735,2.11926E-05,0.012711797,2.31591E-06,8.91537E-07,-0.483720848,0.786729946,1.590085196
2270,3.74403792,0.06932763,1.03975E-08,4.503020919,94.20161344,1.69985E-09,1.533211798,0.25912939,0.129990603,3.215576041,0.01104691,3.614945931,0.240792809,4.450467717
2271,3.613349415,0.134601823,2.56909E-09,27.38090437,284.7261133,7.83825E-08,1.513419435,0.065486978,0.126874892,0.399418515,0.002760483,3.000085347,0.764842427,4.400471437
2272,17.08321997,1.443665886,4.99192E-10,78.12442781,358.104998,5.83641E-05,1.436053562,0.012724906,0.599848041,0.034211022,0.000536388,2.283481241,0.494654035,9.704459976
2273,12.90797179,2.00841272,1.47256E-10,184.1187224,458.3777105,0.000490148,1.384993624,0.00375789,0.453494752,0.005484219,0.000158316,1.745863132,0.828658625,8.536901918
2274,11.3865858,22.48940201,9.13888E-13,235.6315262,46.21356855,0.99839411,0.674810318,2.33091E-05,0.399933379,2.68057E-06,9.82261E-07,-0.448795272,0.41665362,9.067284714
2275,4.356427476,0.096041914,7.33502E-09,18.41268811,323.5246463,1.58817E-08,1.535076393,0.18472192,0.152043301,1.915275527,0.00783389,3.454525206,0.76245433,4.808166752
2276,11.01088571,26.51009167,6.15013E-13,406.9201623,65.46975693,2.920445165,0.589793272,1.56886E-05,0.386767685,1.47995E-06,6.61076E-07,-0.627991619,0.687700758,9.077020364
2277,4.182516098,8.002196707,9.7391E-13,200.660737,40.62667645,0.10427516,0.71543329,2.48973E-05,0.147072879,2.95233E-06,1.04798E-06,-0.418846677,0.565145989,5.440992377
2278,3.550414525,0.280571743,5.70863E-10,50.9790399,249.8890795,1.34516E-06,1.464355235,0.014594155,0.124847738,0.041897916,0.00061429,2.347263551,0.743539881,4.40653596
2279,0.275929683,0.138431794,1.4164E-11,51.36502427,39.65980429,2.09462E-06,1.187285565,0.000362514,0.009708358,0.00016384,1.52501E-05,0.749754424,0.822439994,1.2834835
2280,0.521720827,0.574835114,2.93665E-12,111.9677095,39.36481121,0.000172907,0.964485695,7.51554E-05,0.01835569,1.54669E-05,3.16172E-06,0.06419061,0.995092998,1.834786535
2281,1.837283197,4.395990627,6.22731E-13,127.3701965,20.620902,0.024979883,0.605137835,1.59306E-05,0.064627983,1.51004E-06,6.70324E-07,-0.609415724,0.518664098,3.655596048
2282,8.711397889,5.405100663,9.26041E-12,172.0659089,107.4235229,0.013229601,1.108269489,0.000236482,0.306161189,8.65167E-05,9.95937E-06,0.557776171,0.455276982,7.347134109
2283,3.183029934,17.21114085,1.21934E-13,130.7549718,9.367199501,0.888331123,0.181808635,3.11766E-06,0.111936322,1.308E-07,1.31218E-07,-1.31784086,0.381134964,5.264972127
2284,0.501882632,31.07972615,9.29634E-16,45.19193134,0.282687353,11.46617852,0.000184866,2.37888E-08,0.017656758,8.71102E-11,1.00083E-09,-3.432970555,0.351902741,3.395423177
2285,0.617030563,0.81691227,2.03388E-12,78.27698422,22.90265527,0.000293347,0.892250945,5.20499E-05,0.021708651,8.91467E-06,2.18973E-06,-0.093507555,0.614010606,2.018571058
2286,15.1624218,2.152931893,1.76823E-10,207.4405334,565.9165533,0.000579088,1.397400561,0.004510173,0.532566888,0.007214494,0.000190057,1.820439973,0.916139825,9.236245272
