,mantle_mass,mantle_melt_fraction,core_mass_fraction,surface_radius,surface_temperature,melt_composition
94,3.249e+24,1,0.295334691460966,5804000.0,1500,
95,3.249e+24,1,0.295334691460966,5804000.0,1500,
96,3.249e+24,1,0.295334691460966,5804000.0,1500,
97,3.249e+24,1,0.295334691460966,5804000.0,1500,
98,3.249e+24,1,0.295334691460966,5804000.0,1500,
99,3.249e+24,1,0.295334691460966,5804000.0,1500,
100,3.249e+24,1,0.295334691460966,5804000.0,1500,
101,3.249e+24,1,0.295334691460966,5804000.0,1500,
102,3.249e+24,1,0.295334691460966,5804000.0,1500,
103,3.249e+24,1,0.295334691460966,5804000.0,1500,
104,3.249e+24,1,0.295334691460966,5804000.0,1500,
105,3.249e+24,1,0.295334691460966,5804000.0,1500,
106,3.249e+24,1,0.295334691460966,5804000.0,1500,
107,3.249e+24,1,0.295334691460966,5804000.0,1500,
108,3.249e+24,1,0.295334691460966,5804000.0,1500,
109,3.249e+24,1,0.295334691460966,5804000.0,1500,
110,3.249e+24,1,0.295334691460966,5804000.0,1500,
111,3.249e+24,1,0.295334691460966,5804000.0,1500,
112,3.249e+24,1,0.295334691460966,5804000.0,1500,
113,3.249e+24,1,0.295334691460966,5804000.0,1500,
114,3.249e+24,1,0.295334691460966,5804000.0,1500,
115,3.249e+24,1,0.295334691460966,5804000.0,1500,
116,3.249e+24,1,0.295334691460966,5804000.0,1500,
117,3.249e+24,1,0.295334691460966,5804000.0,1500,
118,3.249e+24,1,0.295334691460966,5804000.0,1500,
119,3.249e+24,1,0.295334691460966,5804000.0,1500,
120,3.249e+24,1,0.295334691460966,5804000.0,1500,
121,3.249e+24,1,0.295334691460966,5804000.0,1500,
122,3.249e+24,1,0.295334691460966,5804000.0,1500,
123,3.249e+24,1,0.295334691460966,5804000.0,1500,
124,3.249e+24,1,0.295334691460966,5804000.0,1500,
125,3.249e+24,1,0.295334691460966,5804000.0,1500,
126,3.249e+24,1,0.295334691460966,5804000.0,1500,
127,3.249e+24,1,0.295334691460966,5804000.0,1500,
128,3.249e+24,1,0.295334691460966,5804000.0,1500,
129,3.249e+24,1,0.295334691460966,5804000.0,1500,
130,3.249e+24,1,0.295334691460966,5804000.0,1500,
131,3.249e+24,1,0.295334691460966,5804000.0,1500,
132,3.249e+24,1,0.295334691460966,5804000.0,1500,
133,3.249e+24,1,0.295334691460966,5804000.0,1500,
134,3.249e+24,1,0.295334691460966,5804000.0,1500,
135,3.249e+24,1,0.295334691460966,5804000.0,1500,
136,3.249e+24,1,0.295334691460966,5804000.0,1500,
137,3.249e+24,1,0.295334691460966,5804000.0,1500,
138,3.249e+24,1,0.295334691460966,5804000.0,1500,
139,3.249e+24,1,0.295334691460966,5804000.0,1500,
140,3.249e+24,1,0.295334691460966,5804000.0,1500,
141,3.249e+24,1,0.295334691460966,5804000.0,1500,
142,3.249e+24,1,0.295334691460966,5804000.0,1500,
143,3.249e+24,1,0.295334691460966,5804000.0,1500,
144,3.249e+24,1,0.295334691460966,5804000.0,1500,
145,3.249e+24,1,0.295334691460966,5804000.0,1500,
146,3.249e+24,1,0.295334691460966,5804000.0,1500,
147,3.249e+24,1,0.295334691460966,5804000.0,1500,
148,3.249e+24,1,0.295334691460966,5804000.0,1500,
149,3.249e+24,1,0.295334691460966,5804000.0,1500,
150,3.249e+24,1,0.295334691460966,5804000.0,1500,
151,3.249e+24,1,0.295334691460966,5804000.0,1500,
152,3.249e+24,1,0.295334691460966,5804000.0,1500,
